Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
48LSP30Q12F0;48LSP30Q12F0CX ;LUMLED ECOSPOT PAR30 12W6500K QUADRADOOT;50;PC;LAMPADA;0,206;7,3;0,1;0,11;0,27;0,00297;6;4;7,89701E+12;;MASTER
48LST64AZUL0;48LST64AZUL0;LAMPADA LED,FILAMENTO AZUL DECORAT;1;PC;LAMPADA;1;0,042;0,15;0,065;0,065;0,000634;6;200;7,90841E+12;;UNIDADE
48LST64AZUL0;48LST64AZUL0CX ;LAMPADA LED,FILAMENTO AZUL DECORATIVA ;20;PC;LAMPADA;1;1,47;0,19;0,27;0,34;0,017442;6;10;7,90841E+12;;MASTER
48LST64BRAN0;48LST64BRAN0;LAMPADA LED,FILAMENTO AZUL DECORATIVA ;1;PC;LAMPADA;1;0,07;0,145;0,065;0,065;0,000613;7;200;7,90841E+12;;UNIDADE
48LST64BRAN0;48LST64BRAN0CX ;LAMPADA LED,FILAMENTO AZUL DECORATIVA ;20;PC;LAMPADA;1;1,4;0,2;0,27;0,34;0,01836;7;10;7,90841E+12;;MASTER
48LST64F4AB0;48LST64F4AB0CX ;LAMPADA FILAMENTO LED ST64 4W BIV AMBAR ;20;PC;LAMPADA;0,001;1,54;0,19;0,27;0,34;0,017442;7;10;7,89701E+12;;MASTER
48LST64F4AB0;48LST64F4AB0;LAMPADA FILAMENTO LED ST64 4W BIV AMBAR ;1;PC;LAMPADA;0,001;0,042;0,145;0,075;0,075;0,000816;6;200;7,89701E+12;;UNIDADE
48LST64F4PT0;48LST64F4PT0;LAMP FIL LED ST64 4W BIV 2200K FUMê   ;1;PC;LAMPADA;1;0,067;0,15;0,065;0,065;0,000634;6;200;7,90841E+12;;UNIDADE
48LST64F4PT0;48LST64F4PT0CX ;LAMP FIL LED ST64 4W BIV 2200K FUMê   ;20;PC;LAMPADA;1;1,54;0,2;0,28;0,34;0,01904;6;10;7,90841E+12;;MASTER
48LST64ROSA0;48LST64ROSA0;LAMPADA LED,FILAMENTO ROSA DECORATIVA ;1;PC;LAMPADA;1;0,042;0,15;0,065;0,065;0,000634;7;200;;;UNIDADE
48LST64ROSA0;48LST64ROSA0CX ;LAMPADA LED,FILAMENTO ROSA DECORATIVA ;20;PC;LAMPADA;1;1,47;0,2;0,27;0,34;0,01836;7;10;;;MASTER
48LST64WIFI0;48LST64WIFI0;LAMPADA FILAMENTO LED DECORATIVA INTELI ;1;PC;LAMPADA;1;0,095;0,019;0,007;0,0145;0,000002;6;140;;;UNIDADE
48LST64WIFI0;48LST64WIFI0CX ;LâMPADA DE FILAMENTO LEDINTELIGENTE ST64;10;PC;LAMPADA;1;0,95;0,23;0,25;0,38;0,02185;6;14;;;MASTER
48LT30F04AB0;48LT30F04AB0;LAMPADA FILAMENTO LED T30 2W BIV AMBAR;1;PC;LAMPADA;0,001;0,06;0,195;0,037;0,035;0,000253;6;800;7,89701E+12;;UNIDADE
48LT30F04AB0;48LT30F04AB0CX ;LAMPADA FILAMENTO LED T30 2W BIV AMBAR;50;PC;LAMPADA;0,001;2,9;0,22;0,17;0,32;0,011968;6;16;7,89701E+12;;MASTER
48LT45F04AB0;48LT45F04AB0;LAMPADA FILAMENTO LED T45 4W BIV AMBAR;1;PC;LAMPADA;0,001;0,039;0,12;0,045;0,045;0,000243;6;280;;;UNIDADE
48LT45F04AB0;48LT45F04AB0CX ;LAMPADA FILAMENTO LED T45 4W BIV AMBAR;20;PC;LAMPADA;0,001;1;0,15;0,19;0,245;0,006983;6;14;;;MASTER
48LTBO08BFP0;48LTBO08BFP0;LUM TART REF BCO 8W BIV 6500K YT  ;1;PC;LAMPADA;0,001;0,08;0,165;0,075;0,04;0,000495;8;300;;;UNIDADE
48LTBO08BFP0;48LTBO08BFP0CX ;LUM TART REF BCO 8W BIV 6500K YT  ;60;PC;LAMPADA;0,001;6;0,35;0,245;0,465;0,039874;4;10;;;MASTER
48LTBO08BFY0;48LTBO08BFY0;LUM TART REF BCO 8W BIV 6500K YT  ;1;PC;LAMPADA;0,001;0,091;0,17;0,075;0,04;0,00051;8;240;7,89701E+12;;UNIDADE
48LTBO08BFY0;48LTBO08BFY0CX ;LUM TART REF BCO 8W BIV 6500K YT  ;60;PC;LAMPADA;0,001;7,8;0,36;0,255;0,46;0,042228;4;8;7,89701E+12;;MASTER
48LTBO08BFY0;48LTBO08BFY0CX100        ;LUM TART REF BCO 8W BIV 6500K YT  ;100;PC;LAMPADA;0,001;12,7;0,38;0,54;0,4;0,08208;4;5;7,89701E+12;;MASTER
48LTG09BF0HB;48LTG09BF0HB;LAMPADA TUBO LED T8 9W BIVOLT 6500KLAMPADA TUBO LED T8 9W BIVOLT 6500K      ;1;PC;LAMPADA;0,001;0,1;0,03;0,03;0,6;0,00054;200;200;;;UNIDADE
48LTG09BF0HB;48LTG09BF0HBCX ;LAMPADA TUBO LED T8 9W BIVOLT 6500KLAMPADA TUBO LED T8 9W BIVOLT 6500K      ;25;PC;LAMPADA;0,001;2,76;0,16;0,16;0,63;0,016128;8;10;;;MASTER
48LTG102BF00;48LTG102BF00;LAMPADA TUBO LED T8 10W BIVOLT 6500K  ;1;PC;LAMPADA;0,001;0,11;0,03;0,03;0,6;0,00054;50;40;7,89701E+12;;UNIDADE
48LTG102BF00;48LTG102BF00CX6;LAMPADA TUBO LED T8 10W BIVOLT 6500K  ;6;PC;LAMPADA;0,001;0,2;0,007;0,007;0,63;0,000031;10;10;7,89701E+12;;INNER
48LTG102BF00;48LTG102BF00CX ;LAMPADA TUBO LED T8 10W BIVOLT 6500K  ;25;PC;LAMPADA;0,001;3,25;0,16;0,17;0,63;0,017136;8;10;7,89701E+12;;MASTER
48LTG102BN00;48LTG102BN00;LAMPADA TUBO LED T8 10W BIVOLT 4000K  ;1;PC;LAMPADA;0,001;0,1;0,03;0,03;0,6;0,00054;40;50;7,89701E+12;;UNIDADE
48LTG102BN00;48LTG102BN00CX6;LAMPADA TUBO LED T8 10W BIVOLT 4000K  ;6;PC;LAMPADA;0,001;0,1;0,075;0,105;0,61;0,004804;10;10;7,89701E+12;;INNER
48LTG102BN00;48LTG102BN00CX ;LAMPADA TUBO LED T8 10W BIVOLT 4000K  ;25;PC;LAMPADA;0,001;2,9;0,16;0,17;0,63;0,017136;8;10;7,89701E+12;;MASTER
48LTG10FC000;48LTG10FC000;LAMPADA TUBULAR T8 60CM LED 10W, BIVOLT,6500K,25000H, BASE G13.;1;PC;LAMPADA;0,001;0,1;0,3;0,3;0,6;0,054;40;50;7,89701E+12;;UNIDADE
48LTG10FC000;48LTG10FC000CX06;LAMPADA TUBULAR T8 60CM LED 10W, BIVOLT,6500K,25000H, BASE G13.;6;PC;LAMPADA;0,001;1,34;0,08;0,1;0,63;0,00504;14;16;7,89701E+12;;INNER
48LTG10FC000;48LTG10FC000CX ;LAMPADA TUBULAR T8 60CM LED 10W, BIVOLT,6500K,25000H, BASE G13.;25;PC;LAMPADA;0,001;2,76;0,16;0,16;0,63;0,016128;8;10;7,89701E+12;;MASTER
48LTG18BF0HB;48LTG18BF0HBCX ;LAMPADA TUBO LED T8 18W BIVOLT 6500KLAMPADA TUBO LED T8 18W BIVOLT 6500K    ;25;PC;LAMPADA;0,001;4,94;0,16;0,16;1,23;0,031488;8;5;7,89701E+12;;MASTER
48LTG18BF0HB;48LTG18BF0HB;LAMPADA TUBO LED T8 18W BIVOLT 6500KLAMPADA TUBO LED T8 18W BIVOLT 6500K    ;1;PC;LAMPADA;0,001;0,2;0,03;0,03;1,2;0,00108;2;8;7,89701E+12;;UNIDADE
48LTG18BF0HB;48LTG18BF0HBCX5;LAMPADA TUBO LED T8 18W BIVOLT 6500KLAMPADA TUBO LED T8 18W BIVOLT 6500K    ;5;PC;LAMPADA;0,001;0,1;0,1;0,1;0,1;0,001;2;8;7,89701E+12;;INNER
48LTG202BF00;48LTG202BF00;LAMPADA TUBO LED T8 20W BIVOLT 6500K  ;1;PC;LAMPADA;0,001;0,192;0,03;0,03;1,21;0,001089;40;25;7,89701E+12;;UNIDADE
48LTG202BF00;48LTG202BF00-INER        ;LAMPADA TUBO LED T8 20W BIVOLT 6500K  ;6;PC;LAMPADA;0,001;1,34;0,0145;0,06;1,23;0,00107;19;8;7,89701E+12;;INNER
48LTG202BF00;48LTG202BF00-INER        ;LAMPADA TUBO LED T8 20W BIVOLT 6500K  ;6;PC;LAMPADA;0,001;1,34;0,0145;0,06;1,23;0,00107;19;8;7,89701E+12;;INNER
48LTG202BF00;48LTG202BF00CX ;LAMPADA TUBO LED T8 20W BIVOLT 6500K  ;25;PC;LAMPADA;0,001;5,3;0,18;0,17;1,25;0,03825;8;5;7,89701E+12;;MASTER
48LTG202BN00;48LTG202BN00;LAMPADA TUBO LED T8 20W BIVOLT 4000K LD ;1;PC;LAMPADA;1;0,184;0,03;0,03;1,21;0,001089;40;25;7,89701E+12;;UNIDADE
48LTG202BN00;48LTG202BN00CX ;LAMPADA TUBO LED T8 20W BIVOLT 4000K LD ;25;PC;LAMPADA;1;5,3;0,155;0,17;1,25;0,032938;8;5;7,89701E+12;;MASTER
48LTG202BN00;48LTG202BN00CX6;LAMPADA TUBO LED T8 20W BIVOLT 4000K LD ;6;PC;LAMPADA;1;1,34;0,08;0,1;1,23;0,00984;2;8;7,89701E+12;;INNER
48LTG20NC000;48LTG20NC000;LAMPADA TUBO LED T8 20W BIVOLT 4000K LD ;1;PC;LAMPADA;0,249;0,248;0,03;0,03;1,21;0,001089;40;25;;;UNIDADE
48LTG20NC000;48LTG20NC000CX ;LAMPADA TUBO LED T8 20W BIVOLT 4000K LD ;25;PC;LAMPADA;0,249;6,2;0,16;0,16;1,23;0,031488;8;5;;;MASTER
