Item;SKU;Descrição;Qtd. Itens;Unid Med;Des Categoria;Peso Liquido;Peso Bruto SKU;Altura;Largura;Comprimento;Volume m3;Qtd. CX Altura;Qtd. CX Lastro;Cod. Barras;Clasificação ABC;Caixa
42FOG2002000;42FOG2002000CX;FOGO ELETRICO 1 BOCA 1000W 220V;6;PC;ELET - COZINHA;0,1;8;0,28;0,25;0,47;0,0329;5;8;17908412544900;A;MASTER
42PAR3002000;42PAR3002000;P. ARROZ ELETRICA 10 XICS 18L 220V;1;PC;ELET - COZINHA;0,1;2,7;0,28;0,28;0,28;0,021952;2;12;7908412551901;A;UNIDADE
42PAR3002000;42PAR3002000;P. ARROZ ELETRICA 10 XICS 18L 220V;1;PC;ELET - COZINHA;0,1;2,7;0,28;0,28;0,28;0,021952;2;12;42PAR3002000;A;UNIDADE
42PAR3002000;42PAR3002000 MASTER;P. ARROZ ELETRICA 10 XICS 18L 220V;6;PC;ELET - COZINHA;0,1;5,5;0,57;0,29;0,86;0,142158;2;4;42PAR3002000CX;A;MASTER
42PAR3002000;42PAR3002000 MASTER;P. ARROZ ELETRICA 10 XICS 18L 220V;6;PC;ELET - COZINHA;0,1;5,5;0,57;0,29;0,86;0,142158;2;4;17908412551908;A;MASTER
42PAR3001000;42PAR3001000;P. ARROZ ELETRICA 10 XICS 18L 127V;1;PC;ELET - COZINHA;0,1;2,7;0,28;0,28;0,28;0,021952;4;12;7908412551888;A;UNIDADE
42PAR3001000;42PAR3001000;P. ARROZ ELETRICA 10 XICS 18L 127V;1;PC;ELET - COZINHA;0,1;2,7;0,28;0,28;0,28;0,021952;4;12;42PAR3001000;A;UNIDADE
42PAR3001000;42PAR3001000 MASTER;P. ARROZ ELETRICA 10 XICS 18L 127V;6;PC;ELET - COZINHA;0,1;5,5;0,57;0,29;0,86;0,142158;2;4;17908412551885;A;MASTER
42CHA2002000;42CHA2002000;CHALEIRA ELET. C VISOR 1,7L 220V;1;PC;ELET - COZINHA;0,1;0,85;0,2;0,165;0,2;0,0066;6;36;7908412552106;A;UNIDADE
42CHA2002000;42CHA2002000;CHALEIRA ELET. C VISOR 1,7L 220V;1;PC;ELET - COZINHA;0,1;0,85;0,2;0,165;0,2;0,0066;6;36;42CHA2002000;A;UNIDADE
42CHA2002000;42CHA2002000 MASTER;CHALEIRA ELET. C VISOR 1,7L 220V;12;PC;ELET - COZINHA;0,1;10,23;0,425;0,415;0,515;0,090833;3;6;17908412552103;A;MASTER
42CHA2001000;42CHA2001000;CHALEIRA ELET. C VISOR 1,7L 127V;1;PC;ELET - COZINHA;0,1;0,85;0,2;0,165;0,2;0,0066;6;24;7908412552090;A;UNIDADE
42CHA2001000;42CHA2001000;CHALEIRA ELET. C VISOR 1,7L 127V;1;PC;ELET - COZINHA;0,1;0,85;0,2;0,165;0,2;0,0066;6;24;42CHA2001000;A;UNIDADE
42CHA2001000;42CHA2001000 MASTER;CHALEIRA ELET. C VISOR 1,7L 127V;12;PC;ELET - COZINHA;0,1;10,23;0,425;0,415;0,515;0,090833;3;4;42CHA2001000CX;A;MASTER
42CHA2001000;42CHA2001000 MASTER;CHALEIRA ELET. C VISOR 1,7L 127V;12;PC;ELET - COZINHA;0,1;10,23;0,425;0,415;0,515;0,090833;3;4;17908412552097;A;MASTER
42SAN2002000;42SAN2002000;SANDUICHEIRA GRILL 800W 220V;1;PC;ELET - COZINHA;0,1;1,05;0,24;0,24;0,1;0,00576;6;40;7908412544996;A;UNIDADE
